Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sampleTestSuite,Chrome 76.0.3809.100,,,2019-08-13 16:29:00,2019-08-13 16:29:15,15.406s,PASSED
,,,,,,,
Test Cases/CreateAccount,Chrome 76.0.3809.100,,,2019-08-13 16:29:00,2019-08-13 16:29:15,14.774s,PASSED
Start listener action : launchBrowser,Chrome 76.0.3809.100,,,2019-08-13 16:29:00,2019-08-13 16:29:06,5.688s,PASSED
openCart.Page_Login.loginToThePage(AppURL),Chrome 76.0.3809.100,,,2019-08-13 16:29:06,2019-08-13 16:29:09,2.447s,PASSED
openCart.Page_Your_Store.clickOnRegisterButton(),Chrome 76.0.3809.100,,,2019-08-13 16:29:09,2019-08-13 16:29:12,2.736s,PASSED
openCart.Page_Register_Account.setfirstName(firstName),Chrome 76.0.3809.100,,,2019-08-13 16:29:12,2019-08-13 16:29:12,0.193s,PASSED
openCart.Page_Register_Account.setLastName(lastName),Chrome 76.0.3809.100,,,2019-08-13 16:29:12,2019-08-13 16:29:12,0.148s,PASSED
openCart.Page_Register_Account.setEmail(email),Chrome 76.0.3809.100,,,2019-08-13 16:29:12,2019-08-13 16:29:12,0.238s,PASSED
openCart.Page_Register_Account.setPhoneNumber(phoneNumber),Chrome 76.0.3809.100,,,2019-08-13 16:29:12,2019-08-13 16:29:12,0.153s,PASSED
openCart.Page_Register_Account.setPassword(password),Chrome 76.0.3809.100,,,2019-08-13 16:29:12,2019-08-13 16:29:13,0.357s,PASSED
openCart.Page_Register_Account.clickOnCheckBoxPrivacypolicy(),Chrome 76.0.3809.100,,,2019-08-13 16:29:13,2019-08-13 16:29:13,0.194s,PASSED
openCart.Page_Register_Account.clickOnPrivacyPolicyAggreeButton(),Chrome 76.0.3809.100,,,2019-08-13 16:29:13,2019-08-13 16:29:15,2.037s,PASSED
openCart.Page_Your_Account_Has_Been_Created.clickOnContinueButton(),Chrome 76.0.3809.100,,,2019-08-13 16:29:15,2019-08-13 16:29:15,0.096s,PASSED
